Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000006013.3, ENSGALG00000006013.3, 51, 1
ENSGALG00000006013.3, ENSGALG00000006013.3, 53, 1
ENSGALG00000006013.3, ENSGALG00000006013.4, 71, 0.640796
ENSGALG00000006013.4, ENSGALG00000006013.5, 86, 0.760328
ENSGALG00000006013.5, ENSGALG00000006013.6, 87, 0.996412
ENSGALG00000006013.6, ENSGALG00000006013.7, 95, 0.876864
ENSGALG00000006013.7, ENSGALG00000006013.8, 104, 0.935441

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000001341.1, ENSGALG00000001341.2, 36, 0
ENSGALG00000001341.2, ENSGALG00000001341.3, 42, 0.665888
ENSGALG00000001341.3, ENSGALG00000001341.3, 45, 1
ENSGALG00000001341.3, ENSGALG00000001341.3, 51, 1
ENSGALG00000001341.3, ENSGALG00000001341.3, 53, 1
ENSGALG00000001341.3, ENSGALG00000001341.4, 71, 0.739797
ENSGALG00000001341.4, ENSGALG00000001341.5, 86, 0.806383
ENSGALG00000001341.5, ENSGALG00000001341.6, 95, 0.773172
ENSGALG00000001341.6, ENSGALG00000001341.7, 104, 0.78828

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000001939.1, ENSGALG00000001939.2, 36, 0
ENSGALG00000001939.2, ENSGALG00000001939.3, 42, 0.747151
ENSGALG00000001939.3, ENSGALG00000001939.3, 45, 1
ENSGALG00000001939.3, ENSGALG00000001939.3, 51, 1
ENSGALG00000001939.3, ENSGALG00000001939.3, 53, 1
ENSGALG00000001939.3, ENSGALG00000001939.4, 71, 0.938128
ENSGALG00000001939.4, ENSGALG00000001939.5, 86, 0.93954
ENSGALG00000001939.5, ENSGALG00000001939.6, 95, 0.954891
ENSGALG00000001939.6, ENSGALG00000001939.7, 104, 0.724297

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000013454.1, ENSGALG00000013454.2, 36, 0
ENSGALG00000013454.2, ENSGALG00000013454.3, 42, 0.746644
ENSGALG00000013454.3, ENSGALG00000013454.3, 45, 1
ENSGALG00000013454.3, ENSGALG00000013454.3, 51, 1
ENSGALG00000013454.3, ENSGALG00000013454.3, 53, 1
ENSGALG00000013454.3, ENSGALG00000013454.4, 71, 0.701326
ENSGALG00000013454.4, ENSGALG00000013454.5, 86, 0.770872
ENSGALG00000013454.5, ENSGALG00000013454.6, 95, 0.498339

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000010048.1, ENSGALG00000010048.1, 36, 1
ENSGALG00000010048.1, ENSGALG00000010048.2, 42, 0.913761
ENSGALG00000010048.2, ENSGALG00000010048.2, 45, 1
ENSGALG00000010048.2, ENSGALG00000010048.2, 51, 1
ENSGALG00000010048.2, ENSGALG00000010048.2, 53, 1
ENSGALG00000010048.2, ENSGALG00000010048.3, 71, 0.911364
ENSGALG00000010048.3, ENSGALG00000010048.4, 86, 0.997585
ENSGALG00000010048.4, ENSGALG00000010048.5, 87, 0.997602
ENSGALG00000010048.5, ENSGALG00000010048.6, 95, 0.99
ENSGALG00000010048.6, ENSGALG00000010048.7, 104, 0.37181

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000010705.1, ENSGALG00000010705.2, 36, 0
ENSGALG00000010705.2, ENSGALG00000010705.3, 42, 0.989593
ENSGALG00000010705.3, ENSGALG00000010705.3, 45, 1
ENSGALG00000010705.3, ENSGALG00000010705.3, 51, 1
ENSGALG00000010705.3, ENSGALG00000010705.3, 53, 1
ENSGALG00000010705.3, ENSGALG00000010705.4, 71, 0.522043
ENSGALG00000010705.4, ENSGALG00000010705.5, 86, 0.521802
ENSGALG00000010705.5, ENSGALG00000010705.6, 95, 0.918527
ENSGALG00000010705.6, ENSGALG00000010705.7, 104, 0.27274

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000011045.1, ENSGALG00000011045.2, 36, 0
ENSGALG00000011045.2, ENSGALG00000011045.3, 42, 0.764438
ENSGALG00000011045.3, ENSGALG00000011045.3, 45, 1
ENSGALG00000011045.3, ENSGALG00000011045.3, 51, 1
ENSGALG00000011045.3, ENSGALG00000011045.3, 53, 1
ENSGALG00000011045.3, ENSGALG00000011045.4, 71, 0.908545
ENSGALG00000011045.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000020522.1, ENSGALG00000020522.2, 42, 0.30849
ENSGALG00000020522.2, ENSGALG00000020522.2, 45, 1
ENSGALG00000020522.2, ENSGALG00000020522.2, 51, 1
ENSGALG00000020522.2, ENSGALG00000020522.2, 53, 1
ENSGALG00000020522.2, ENSGALG00000020522.3, 71, 0.968463
ENSGALG00000020522.3, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000005415.1, ENSGALG00000005415.2, 36, 0
ENSGALG00000005415.2, ENSGALG00000005415.3, 42, 0.33063
ENSGALG00000005415.3, ENSGALG00000005415.3, 45, 1
ENSGALG00000005415.3, ENSGALG00000005415.3, 51, 1
ENSGALG00000005415.3, ENSGALG00000005415.3, 53, 1
ENSGALG00000005415.3, ENSGALG00000005415.4, 71, 0.929309
ENSGALG00000005415.4, ENSGALG00000005415.5, 86, 0.861914
ENSGALG00000005415.5, ENSGALG00000005415.6, 95, 0.854771
ENSGALG00000005415.6, ENSGALG00000005415.7, 104, 0.831748

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000004850.1, ENSGALG00000004850.2, 36, 0
ENSGALG00000004850.2, ENSGALG00000004850.3, 42, 0.861709
ENSGALG00000004850.3, ENSGALG00000004850.3, 45, 1
ENSGALG00000004850.3, ENSGALG00000004850.3, 51, 1
ENSGALG00000004850.3, ENSGALG00000004850.3, 53, 1
ENSGALG00000004850.3, ENSGALG00000004850.4, 71, 0.833311
ENSGALG00000004850.4, ENSGALG00000004850.5, 86, 0.801106
ENSGALG00000004850.5, ENSGALG00000004850.6, 95, 0.768824
ENSGALG00000004850.6, ENSGALG00000004850.7, 104, 0.964154

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000003429.1, ENSGALG00000003429.1, 36, 1
ENSGALG00000003429.1, ENSGALG00000003429.2, 42, 0.771028
ENSGALG00000003429.2, ENSGALG00000003429.2, 45, 1
ENSGALG00000003429.2, ENSGALG00000003429.2, 51, 1
ENSGALG00000003429.2, ENSGALG00000003429.2, 53, 1
ENSGALG00000003429.2, ENSGALG00000003429.3, 71, 0.595468
ENSGALG00000003429.3, ENSGALG00000003429.4, 86, 0.817741
ENSGALG00000003429.4, ENSGALG00000003429.5, 87, 0.980389
ENSGALG00000003429.5, ENSGALG00000003429.6, 95, 0.99
ENSGALG00000003429.6, ENSGALG00000003429.7, 104, 0.428168

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000021002.1, ENSGALG00000021002.2, 42, 0.759132
ENSGALG00000021002.2, ENSGALG00000021002.2, 45, 1
ENSGALG00000021002.2, ENSGALG00000021002.2, 51, 1
ENSGALG00000021002.2, ENSGALG00000021002.2, 53, 1
ENSGALG00000021002.2, ENSGALG00000021002.2, 71, 0.995846
ENSGALG00000021002.2, ENSGALG00000021002.3, 86, 0.643566
ENSGALG00000021002.3, <retired>, 95, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000010870.1, ENSGALG00000010870.2, 36, 0
ENSGALG00000010870.2, ENSGALG00000010870.3, 42, 0.327189
ENSGALG00000010870.3, ENSGALG00000010870.3, 45, 1
ENSGALG00000010870.3, ENSGALG00000010870.3, 51, 1
ENSGALG00000010870.3, ENSGALG00000010870.3, 53, 1
ENSGALG00000010870.3, ENSGALG00000010870.4, 71, 0.997888
ENSGALG00000010870.4, ENSGALG00000010870.5, 86, 0.714016
ENSGALG00000010870.5, ENSGALG00000010870.6, 87, 0.998244
ENSGALG00000010870.6, ENSGALG00000010870.7, 95, 0.99
ENSGALG00000010870.7, ENSGALG00000010870.8, 104, 0.593984

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000001843.1, ENSGALG00000001843.2, 36, 0
ENSGALG00000001843.2, ENSGALG00000001843.3, 42, 0.594141
ENSGALG00000001843.3, ENSGALG00000001843.3, 45, 1
ENSGALG00000001843.3, ENSGALG00000001843.3, 51, 1
ENSGALG00000001843.3, ENSGALG00000001843.3, 53, 1
ENSGALG00000001843.3, ENSGALG00000001843.4, 71, 0.896218
ENSGALG00000001843.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000005354.1, ENSGALG00000005354.2, 36, 0
ENSGALG00000005354.2, ENSGALG00000005354.3, 42, 0.485027
ENSGALG00000005354.3, ENSGALG00000005354.3, 45, 1
ENSGALG00000005354.3, ENSGALG00000005354.3, 51, 1
ENSGALG00000005354.3, ENSGALG00000005354.3, 53, 1
ENSGALG00000005354.3, ENSGALG00000005354.4, 71, 0.966308
ENSGALG00000005354.4, ENSGALG00000005354.5, 86, 0.966308
ENSGALG00000005354.5, ENSGALG00000005354.6, 95, 0.99
ENSGALG00000005354.6, <retired>, 104, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000012290.1, ENSGALG00000012290.2, 36, 0
ENSGALG00000012290.2, ENSGALG00000012290.3, 42, 0.965099
ENSGALG00000012290.3, ENSGALG00000012290.3, 45, 1
ENSGALG00000012290.3, ENSGALG00000012290.3, 51, 1
ENSGALG00000012290.3, ENSGALG00000012290.3, 53, 1
ENSGALG00000012290.3, ENSGALG00000012290.4, 71, 0.958099
ENSGALG00000012290.4, ENSGALG00000012290.5, 86, 0.963913
ENSGALG00000012290.5, ENSGALG00000012290.6, 95, 0.994768
ENSGALG00000012290.6, ENSGALG00000012290.7, 104, 0.770063

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000007000.1, ENSGALG00000007000.2, 36, 0
ENSGALG00000007000.2, ENSGALG00000007000.3, 42, 0.593983
ENSGALG00000007000.3, ENSGALG00000007000.3, 45, 1
ENSGALG00000007000.3, ENSGALG00000007000.3, 51, 1
ENSGALG00000007000.3, ENSGALG00000007000.3, 53, 1
ENSGALG00000007000.3, ENSGALG00000007000.4, 71, 0.707813
ENSGALG00000007000.4, ENSGALG00000007000.5, 86, 0.988786
ENSGALG00000007000.5, ENSGALG00000007000.6, 87, 0.959258
ENSGALG00000007000.6, ENSGALG00000007000.7, 95, 0.70559
ENSGALG00000007000.7, ENSGALG00000007000.8, 104, 0.497152

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000006099.1, ENSGALG00000006099.2, 36, 0
ENSGALG00000006099.2, ENSGALG00000006099.3, 42, 0.423503
ENSGALG00000006099.3, ENSGALG00000006099.3, 45, 1
ENSGALG00000006099.3, ENSGALG00000006099.3, 51, 1
ENSGALG00000006099.3, ENSGALG00000006099.3, 53, 1
ENSGALG00000006099.3, ENSGALG00000006099.4, 71, 0.741169
ENSGALG00000006099.4, ENSGALG00000006099.5, 86, 0.689967
ENSGALG00000006099.5, <retired>, 95, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000005263.1, ENSGALG00000005263.1, 36, 1
ENSGALG00000005263.1, ENSGALG00000005263.1, 42, 1
ENSGALG00000005263.1, ENSGALG00000005263.1, 45, 1
ENSGALG00000005263.1, ENSGALG00000005263.1, 51, 1
ENSGALG00000005263.1, ENSGALG00000005263.1, 53, 1
ENSGALG00000005263.1, ENSGALG00000005263.2, 95, 0.99
ENSGALG00000005263.2, ENSGALG00000005263.3, 104, 0.639065

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000002393.1, ENSGALG00000002393.2, 36, 0
ENSGALG00000002393.2, ENSGALG00000002393.3, 42, 0.643818
ENSGALG00000002393.3, ENSGALG00000002393.3, 45, 1
ENSGALG00000002393.3, ENSGALG00000002393.3, 51, 1
ENSGALG00000002393.3, ENSGALG00000002393.3, 53, 1
ENSGALG00000002393.3, ENSGALG00000002393.4, 71, 0.834098
ENSGALG00000002393.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000007011.1, ENSGALG00000007011.2, 36, 0
ENSGALG00000007011.2, ENSGALG00000007011.3, 42, 0.640829
ENSGALG00000007011.3, ENSGALG00000007011.3, 45, 1
ENSGALG00000007011.3, ENSGALG00000007011.3, 51, 1
ENSGALG00000007011.3, ENSGALG00000007011.3, 53, 1
ENSGALG00000007011.3, ENSGALG00000007011.4, 71, 0.436274
ENSGALG00000007011.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000001188.1, ENSGALG00000001188.2, 36, 0
ENSGALG00000001188.2, ENSGALG00000001188.3, 42, 0.857756
ENSGALG00000001188.3, ENSGALG00000001188.3, 45, 1
ENSGALG00000001188.3, ENSGALG00000001188.3, 51, 1
ENSGALG00000001188.3, ENSGALG00000001188.3, 53, 1
ENSGALG00000001188.3, ENSGALG00000001188.4, 71, 0.5557
ENSGALG00000001188.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000013987.1, ENSGALG00000013987.2, 36, 0
ENSGALG00000013987.2, ENSGALG00000013987.3, 42, 0.881509
ENSGALG00000013987.3, ENSGALG00000013987.3, 45, 1
ENSGALG00000013987.3, ENSGALG00000013987.3, 51, 1
ENSGALG00000013987.3, ENSGALG00000013987.3, 53, 1
ENSGALG00000013987.3, ENSGALG00000013987.4, 71, 0.39319
ENSGALG00000013987.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000015599.1, ENSGALG00000015599.2, 36, 0
ENSGALG00000015599.2, ENSGALG00000015599.2, 42, 0.710023
ENSGALG00000015599.2, ENSGALG00000015599.2, 45, 1
ENSGALG00000015599.2, ENSGALG00000015599.2, 51, 1
ENSGALG00000015599.2, ENSGALG00000015599.2, 53, 1
ENSGALG00000015599.2, ENSGALG00000015599.3, 71, 0.691889
ENSGALG00000015599.3, ENSGALG00000015599.4, 86, 0.874097
ENSGALG00000015599.4, ENSGALG00000015599.5, 95, 0.99
ENSGALG00000015599.5, ENSGALG00000015599.6, 104, 0.631351

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000009853.1, ENSGALG00000009853.1, 36, 1
ENSGALG00000009853.1, ENSGALG00000009853.2, 42, 1
ENSGALG00000009853.2, ENSGALG00000009853.2, 45, 1
ENSGALG00000009853.2, ENSGALG00000009853.2, 51, 1
ENSGALG00000009853.2, ENSGALG00000009853.2, 53, 1
ENSGALG00000009853.2, ENSGALG00000009853.3, 71, 0.998773
ENSGALG00000009853.3, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000022994.1, ENSGALG00000022994.1, 45, 1
ENSGALG00000022994.1, ENSGALG00000022994.1, 51, 1
ENSGALG00000022994.1, ENSGALG00000022994.1, 53, 1
ENSGALG00000022994.1, ENSGALG00000022994.2, 71, 0.614782
ENSGALG00000022994.2, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000011695.1, ENSGALG00000011695.2, 36, 0
ENSGALG00000011695.2, ENSGALG00000011695.3, 42, 0.971018
ENSGALG00000011695.3, ENSGALG00000011695.3, 45, 1
ENSGALG00000011695.3, ENSGALG00000011695.3, 51, 1
ENSGALG00000011695.3, ENSGALG00000011695.3, 53, 1
ENSGALG00000011695.3, ENSGALG00000011695.4, 71, 0.53323
ENSGALG00000011695.4, ENSGALG00000011695.5, 95, 0.801118
ENSGALG00000011695.5, ENSGALG00000011695.6, 104, 0.874252

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000003424.1, ENSGALG00000003424.2, 36, 0
ENSGALG00000003424.2, ENSGALG00000003424.3, 42, 0.742176
ENSGALG00000003424.3, ENSGALG00000003424.3, 45, 1
ENSGALG00000003424.3, ENSGALG00000003424.3, 51, 1
ENSGALG00000003424.3, ENSGALG00000003424.3, 53, 1
ENSGALG00000003424.3, ENSGALG00000003424.4, 71, 0.313258
ENSGALG00000003424.4, ENSGALG00000003424.5, 86, 0.80301
ENSGALG00000003424.5, ENSGALG00000003424.6, 95, 0.99
ENSGALG00000003424.6, ENSGALG00000003424.7, 104, 0.893773

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000015451.1, ENSGALG00000015451.2, 36, 0
ENSGALG00000015451.2, ENSGALG00000015451.3, 42, 0.509535
ENSGALG00000015451.3, ENSGALG00000015451.3, 45, 1
ENSGALG00000015451.3, ENSGALG00000015451.3, 51, 1
ENSGALG00000015451.3, ENSGALG00000015451.3, 53, 1
ENSGALG00000015451.3, ENSGALG00000015451.4, 71, 0.745148
ENSGALG00000015451.4, ENSGALG00000015451.5, 86, 0.930686
ENSGALG00000015451.5, ENSGALG00000015451.6, 95, 0.992295
ENSGALG00000015451.6, ENSGALG00000015451.7, 104, 0.924546

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000012921.1, ENSGALG00000012921.2, 36, 0
ENSGALG00000012921.2, ENSGALG00000012921.3, 42, 0.652332
ENSGALG00000012921.3, ENSGALG00000012921.3, 45, 1
ENSGALG00000012921.3, ENSGALG00000012921.3, 51, 1
ENSGALG00000012921.3, ENSGALG00000012921.3, 53, 1
ENSGALG00000012921.3, ENSGALG00000012921.4, 71, 0.906724
ENSGALG00000012921.4, ENSGALG00000012921.5, 86, 0.701415
ENSGALG00000012921.5, ENSGALG00000012921.6, 87, 0.997362
ENSGALG00000012921.6, ENSGALG00000012921.7, 95, 0.702867
ENSGALG00000012921.7, ENSGALG00000012921.8, 104, 0.964941

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000007679.1, ENSGALG00000007679.2, 36, 0
ENSGALG00000007679.2, ENSGALG00000007679.3, 42, 0.769164
ENSGALG00000007679.3, ENSGALG00000007679.3, 45, 1
ENSGALG00000007679.3, ENSGALG00000007679.3, 51, 1
ENSGALG00000007679.3, ENSGALG00000007679.3, 53, 1
ENSGALG00000007679.3, ENSGALG00000007679.4, 71, 0.765761
ENSGALG00000007679.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000007247.1, ENSGALG00000007247.2, 36, 0
ENSGALG00000007247.2, ENSGALG00000007247.3, 42, 0.85334
ENSGALG00000007247.3, ENSGALG00000007247.3, 45, 1
ENSGALG00000007247.3, ENSGALG00000007247.3, 51, 1
ENSGALG00000007247.3, ENSGALG00000007247.3, 53, 1
ENSGALG00000007247.3, ENSGALG00000007247.4, 71, 0.986111
ENSGALG00000007247.4, ENSGALG00000007247.5, 86, 0.966952
ENSGALG00000007247.5, ENSGALG00000007247.6, 95, 0.620472
ENSGALG00000007247.6, ENSGALG00000007247.7, 104, 0.845674

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000022896.1, ENSGALG00000022896.1, 45, 1
ENSGALG00000022896.1, ENSGALG00000022896.1, 51, 1
ENSGALG00000022896.1, ENSGALG00000022896.1, 53, 1
ENSGALG00000022896.1, ENSGALG00000022896.2, 71, 0.371709
ENSGALG00000022896.2, ENSGALG00000022896.3, 86, 0.674967
ENSGALG00000022896.3, ENSGALG00000022896.4, 95, 0.99

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000002232.1, ENSGALG00000002232.2, 36, 0
ENSGALG00000002232.2, ENSGALG00000002232.3, 42, 0.703619
ENSGALG00000002232.3, ENSGALG00000002232.3, 45, 1
ENSGALG00000002232.3, ENSGALG00000002232.3, 51, 1
ENSGALG00000002232.3, ENSGALG00000002232.3, 53, 1
ENSGALG00000002232.3, ENSGALG00000002232.4, 71, 0.645378
ENSGALG00000002232.4, ENSGALG00000002232.5, 86, 0.712461
ENSGALG00000002232.5, ENSGALG00000002232.6, 95, 0.501116
ENSGALG00000002232.6, ENSGALG00000002232.7, 104, 0.712826

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000000836.1, ENSGALG00000000836.1, 36, 1
ENSGALG00000000836.1, ENSGALG00000000836.2, 42, 0.855917
ENSGALG00000000836.2, ENSGALG00000000836.2, 45, 1
ENSGALG00000000836.2, ENSGALG00000000836.2, 51, 1
ENSGALG00000000836.2, ENSGALG00000000836.2, 53, 1
ENSGALG00000000836.2, ENSGALG00000000836.3, 71, 0.703789
ENSGALG00000000836.3, ENSGALG00000000836.4, 86, 0.488044
ENSGALG00000000836.4, ENSGALG00000000836.5, 95, 0.413291
ENSGALG00000000836.5, ENSGALG00000000836.6, 104, 0.389685

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000006252.1, ENSGALG00000006252.2, 36, 0
ENSGALG00000006252.2, ENSGALG00000006252.3, 42, 0.667206
ENSGALG00000006252.3, ENSGALG00000006252.3, 45, 1
ENSGALG00000006252.3, ENSGALG00000006252.3, 51, 1
ENSGALG00000006252.3, ENSGALG00000006252.3, 53, 1
ENSGALG00000006252.3, ENSGALG00000006252.4, 71, 0.308895
ENSGALG00000006252.4, ENSGALG00000006252.5, 86, 0.232321
ENSGALG00000006252.5, ENSGALG00000006252.6, 95, 0.858618
ENSGALG00000006252.6, ENSGALG00000006252.7, 104, 0.695351

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000014184.1, ENSGALG00000014184.1, 36, 1
ENSGALG00000014184.1, ENSGALG00000014184.1, 42, 1
ENSGALG00000014184.1, ENSGALG00000014184.1, 45, 1
ENSGALG00000014184.1, ENSGALG00000014184.1, 51, 1
ENSGALG00000014184.1, ENSGALG00000014184.1, 53, 1
ENSGALG00000014184.1, ENSGALG00000014184.2, 71, 0.281185
ENSGALG00000014184.2, ENSGALG00000014184.3, 86, 0.72083
ENSGALG00000014184.3, ENSGALG00000014184.4, 95, 0.733406
ENSGALG00000014184.4, ENSGALG00000014184.5, 104, 0.912272

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000008054.1, ENSGALG00000008054.2, 36, 0
ENSGALG00000008054.2, ENSGALG00000008054.3, 42, 0.703833
ENSGALG00000008054.3, ENSGALG00000008054.3, 45, 1
ENSGALG00000008054.3, ENSGALG00000008054.3, 51, 1
ENSGALG00000008054.3, ENSGALG00000008054.3, 53, 1
ENSGALG00000008054.3, ENSGALG00000008054.4, 71, 0.853755
ENSGALG00000008054.4, ENSGALG00000008054.5, 86, 0.792756
ENSGALG00000008054.5, ENSGALG00000008054.6, 95, 0.553397
ENSGALG00000008054.6, ENSGALG00000008054.7, 104, 0.830659

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000004093.1, ENSGALG00000004093.2, 36, 0
ENSGALG00000004093.2, ENSGALG00000004093.3, 42, 0.524202
ENSGALG00000004093.3, ENSGALG00000004093.3, 45, 1
ENSGALG00000004093.3, ENSGALG00000004093.3, 51, 1
ENSGALG00000004093.3, ENSGALG00000004093.3, 53, 1
ENSGALG00000004093.3, ENSGALG00000004093.4, 71, 0.726241
ENSGALG00000004093.4, ENSGALG00000004093.5, 86, 0.998651
ENSGALG00000004093.5, ENSGALG00000004093.6, 95, 0.998648

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000009665.1, ENSGALG00000009665.2, 36, 0
ENSGALG00000009665.2, ENSGALG00000009665.3, 42, 0.695068
ENSGALG00000009665.3, ENSGALG00000009665.3, 45, 1
ENSGALG00000009665.3, ENSGALG00000009665.3, 51, 1
ENSGALG00000009665.3, ENSGALG00000009665.3, 53, 1
ENSGALG00000009665.3, ENSGALG00000009665.4, 71, 0.744743
ENSGALG00000009665.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000012792.1, ENSGALG00000012792.2, 36, 0
ENSGALG00000012792.2, ENSGALG00000012792.3, 42, 0.891291
ENSGALG00000012792.3, ENSGALG00000012792.3, 45, 1
ENSGALG00000012792.3, ENSGALG00000012792.3, 51, 1
ENSGALG00000012792.3, ENSGALG00000012792.3, 53, 1
ENSGALG00000012792.3, ENSGALG00000012792.4, 71, 0.938629
ENSGALG00000012792.4, ENSGALG00000012792.5, 86, 0.973919
ENSGALG00000012792.5, ENSGALG00000012792.6, 95, 0.968667
ENSGALG00000012792.6, ENSGALG00000012792.7, 104, 0.918977

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000009895.1, ENSGALG00000009895.2, 36, 0
ENSGALG00000009895.2, ENSGALG00000009895.3, 42, 0.992606
ENSGALG00000009895.3, ENSGALG00000009895.3, 45, 1
ENSGALG00000009895.3, ENSGALG00000009895.3, 51, 1
ENSGALG00000009895.3, ENSGALG00000009895.3, 53, 1
ENSGALG00000009895.3, ENSGALG00000009895.4, 71, 0.874309
ENSGALG00000009895.4, ENSGALG00000009895.5, 86, 0.88735
ENSGALG00000009895.5, ENSGALG00000009895.6, 95, 0.981281
ENSGALG00000009895.6, ENSGALG00000009895.7, 104, 0.726992

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000011298.1, ENSGALG00000011298.2, 36, 0
ENSGALG00000011298.2, ENSGALG00000011298.3, 42, 0.449297
ENSGALG00000011298.3, ENSGALG00000011298.3, 45, 1
ENSGALG00000011298.3, ENSGALG00000011298.3, 51, 1
ENSGALG00000011298.3, ENSGALG00000011298.3, 53, 1
ENSGALG00000011298.3, ENSGALG00000011298.4, 71, 0.778251
ENSGALG00000011298.4, ENSGALG00000011298.5, 86, 0.863773
ENSGALG00000011298.5, ENSGALG00000011298.6, 87, 0.970666
ENSGALG00000011298.6, ENSGALG00000011298.7, 95, 0.794675
ENSGALG00000011298.7, ENSGALG00000011298.8, 104, 0.822453

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000015112.1, ENSGALG00000015112.2, 36, 0
ENSGALG00000015112.2, ENSGALG00000015112.3, 42, 0.894265
ENSGALG00000015112.3, ENSGALG00000015112.3, 45, 1
ENSGALG00000015112.3, ENSGALG00000015112.3, 51, 1
ENSGALG00000015112.3, ENSGALG00000015112.3, 53, 1
ENSGALG00000015112.3, ENSGALG00000015112.4, 86, 0.872057
ENSGALG00000015112.4, ENSGALG00000015112.5, 95, 0.969344
ENSGALG00000015112.5, ENSGALG00000015112.6, 104, 0.93349

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000024047.1, ENSGALG00000024047.1, 45, 1
ENSGALG00000024047.1, ENSGALG00000024047.1, 51, 1
ENSGALG00000024047.1, ENSGALG00000024047.1, 53, 1
ENSGALG00000024047.1, ENSGALG00000024047.2, 71, 0.439857
ENSGALG00000024047.2, ENSGALG00000024047.3, 86, 0.784056
ENSGALG00000024047.3, ENSGALG00000024047.4, 95, 0.686165
ENSGALG00000024047.4, ENSGALG00000024047.5, 104, 0.958858

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000014421.1, ENSGALG00000014421.2, 36, 0
ENSGALG00000014421.2, ENSGALG00000014421.3, 42, 0.527167
ENSGALG00000014421.3, ENSGALG00000014421.3, 45, 1
ENSGALG00000014421.3, ENSGALG00000014421.3, 51, 1
ENSGALG00000014421.3, ENSGALG00000014421.3, 53, 1
ENSGALG00000014421.3, ENSGALG00000014421.4, 71, 0.919382
ENSGALG00000014421.4, ENSGALG00000014421.5, 86, 0.749632
ENSGALG00000014421.5, ENSGALG00000014421.6, 95, 0.695642
ENSGALG00000014421.6, ENSGALG00000014421.7, 104, 0.562943

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000006886.1, ENSGALG00000006886.1, 36, 1
ENSGALG00000006886.1, ENSGALG00000006886.1, 42, 1
ENSGALG00000006886.1, ENSGALG00000006886.1, 45, 1
ENSGALG00000006886.1, ENSGALG00000006886.1, 51, 1
ENSGALG00000006886.1, ENSGALG00000006886.1, 53, 1
ENSGALG00000006886.1, ENSGALG00000006886.2, 95, 0.983644
ENSGALG00000006886.2, ENSGALG00000006886.3, 104, 0.746611

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000027677.1, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000010529.1, ENSGALG00000010529.2, 36, 0
